Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.95573E-05,0.000175961,0.001953024,0.038276611,0.664683514,0.917666667,1.0051,1.077991667,1.160516667,1.813932847,1.829423122,2.349631709,2.920363018,3.077475118,2.92511945,2.434390036,2.175326667,1.947058333,1.833766667,1.999428173,1.759226711,1.672828755,1.953068611,2.156089151,2.352951963,3.326904383,3.491313422,3.191389446
British Virgin Islands,VGB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.812533333,1.72755,1.628966667,1.615790833,1.527444167,1.417375,1.410040833,1.484805833,1.673601667,1.694956667,1.723963333,1.7917225,1.790588333,1.742183333,1.690228333,1.6643975,1.588933333,1.507101667,1.417166667,1.454569273,1.363509474,1.25791302,1.249567016,1.25116567,1.267040123,1.374910845,1.381346877,1.380891164
Bulgaria,BGR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,51.05816897,45.15580564,53.2300461,45.91765336,56.14717786,65.01388775,66.64957185,68.85184157,72.08876411,75.31541675,78.46798557,82.31964206,82.54219694,86.23595765,91.30273466,99.82085128,103.9990691,100,102.7319314,100.7673009,102.0365984,101.5316321,98.36485175,98.48569484,100.682689
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,0.01778825,0.023341167,0.027593583,0.054133667,0.067170833,0.177888667,1.681879167,1.760358333,1.836383333,2.123275,2.184708333,2.076975,1.732701667,1.575108917,1.574133333,1.559266667,1.42905,1.337116667,1.406691667,1.477391667,1.406458333,1.52205,1.473566667,1.474183333,1.7644,1.768041667,1.735458333
Burkina Faso,BFA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704,582.0945501
Burundi,BDI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,85.86359912,88.8489973,97.25069608,100,99.23610631,102.2902572,102.3606681,106.5937172,121.6998392,121.9410424,130.9522202
